,date,totalContributions,totalValue,CLOS_OMW_Baring_UK_Growth_Price,OMW_Fidelity_European_Price,OMW_Jupiter_UK_Growth_Price,OMW_Newton_UK_Equity_Price,SK_INVESCOPerp_Eur_Grwth_Price,SUSP_OMW_Fidelity_Global_Focus_Price,OMW_Fidelity_Gbl_Special_Sits_Price,OMW_Fidelity_Special_Sits_Price,OMW_Invesco_Europn_Equity_(UK),CLOS_BlackRock_Gold_&_General_Price,CLOS_OMW_OM_Voyager_Alt_Inv_Price,CLOS_SK_Threadneedle_Am_Select_Price,Invesco_Corp_Bond_(UK)_Price,OMW_Invesco_High_Income_(UK)_Price,OMW_Invesco_Japan_(UK)_Price,OMW_M&G_Corporate_Bond_Price,OMW_Stewart_Inv_Asia_Pac_Ldrs_Price,OMW_Stewart_Inv_Gbl_Em_Mk_Ldrs_Price,OMW_QI_US_Equity_Growth_JPM_Price,OMW_QI_Prec_Met_Eq_BlackRock_Price,OMW_QI_Inv_Grd_Cp_Bd_Inv_Price,OMW_AXA_Framlington_Health_Price
77,05/12/2007,88723.68,136335.23,18965.68,15769.78,20311.76,20311.76,13623.39,23980.69,11200.38,11200.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,05/01/2008,88723.68,140441.5,19380.79,16393.14,20985.41,20985.41,14043.65,25162.83,11624.79,11624.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,05/02/2008,91233.82,135419.53,18717.15,15659.78,20036.95,20036.95,13411.5,24336.58,10995.06,10995.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,05/03/2008,92067.15,132771.73,18424.91,15443.86,19564.38,19564.38,13157.06,23573.78,10937.59,10937.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,05/04/2008,92317.15,135142.4,18441.17,16005.89,19827.7,19827.7,0.0,23874.55,10701.05,10701.05,13902.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,05/05/2008,92317.15,138825.42,19121.84,16480.4,20611.17,20611.17,0.0,24525.64,11210.12,11210.12,13936.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,05/06/2008,92317.15,140336.85,18897.29,17150.22,20897.43,20897.43,0.0,25381.77,11676.77,11676.77,14067.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,05/07/2008,93733.81,127769.85,17365.33,15798.46,19514.35,19514.35,0.0,23150.56,10601.36,10601.36,12462.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,05/08/2008,94567.14,127430.62,17786.43,15529.02,19229.0,19229.0,0.0,22660.65,10629.02,10629.02,12407.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,05/09/2008,94567.14,132711.63,18129.57,16093.67,20025.75,20025.75,0.0,23909.14,10887.21,10887.21,13401.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,05/10/2008,94567.14,117968.2,16256.57,14068.44,18845.96,18845.96,0.0,21286.81,8993.78,8993.78,11720.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,05/11/2008,94567.14,105778.53,13718.71,12820.88,17895.99,17895.99,0.0,19390.58,7692.05,7692.05,10892.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,05/12/2008,101233.78,105916.84,13606.43,12641.84,18115.23,18115.23,0.0,19339.0,7435.1,7435.1,11424.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,05/01/2009,102067.11,116061.79,14956.31,14372.17,19413.96,19413.96,0.0,21352.2,8334.69,8334.69,12890.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,05/02/2009,102900.44,108573.33,14338.79,12786.94,19033.39,19033.39,0.0,20009.57,7826.71,7826.71,11397.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,05/03/2009,103733.77,97965.91,12887.77,11108.18,17455.29,17455.29,0.0,18274.75,6912.0,6912.0,9819.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,05/04/2009,105400.43,108880.25,0.0,0.0,18461.31,18461.31,0.0,0.0,0.0,0.0,12690.99,3876.16,3800.3,14792.82,11008.92,14132.08,8103.6,11961.77,4858.29,5194.01,0.0,0.0,0.0,0.0
94,05/05/2009,105400.43,111701.42,0.0,0.0,18612.09,18612.09,0.0,0.0,0.0,0.0,13329.65,3485.25,3863.42,15327.79,11499.51,14454.98,8388.73,12116.23,5109.79,5513.98,0.0,0.0,0.0,0.0
95,05/06/2009,106233.76,114763.9,0.0,0.0,18979.06,18979.06,0.0,0.0,0.0,0.0,13630.39,4001.84,3964.61,14914.3,12180.5,14753.7,8626.66,12574.55,5328.6,5809.69,0.0,0.0,0.0,0.0
